frame,prey,predator,food
186,112,12,13
187,113,12,13
188,115,12,12
189,117,12,13
190,118,12,13
191,119,12,13
192,120,12,13
193,118,12,13
194,119,12,12
195,120,12,12
196,121,12,12
197,123,12,12
198,124,12,12
199,127,12,12
200,129,12,12
201,131,12,12
202,133,12,12
203,134,12,12
204,135,12,12
205,136,12,13
206,137,11,12
207,138,11,12
208,140,11,12
209,143,11,12
210,145,11,11
211,147,11,11
212,149,11,11
213,149,11,12
214,149,11,12
215,151,11,10
216,154,11,9
217,159,11,9
218,163,11,9
219,168,11,10
220,174,11,9
221,179,11,8
222,184,11,8
223,189,11,9
224,194,11,9
225,197,11,9
226,198,11,9
227,200,11,9
228,202,11,10
229,204,11,9
230,206,11,8
231,208,11,8
232,211,11,8
233,212,11,9
234,214,11,9
235,213,11,9
236,213,11,9
237,214,11,9
238,216,11,9
239,219,12,10
240,222,12,9
241,224,12,10
242,226,12,10
243,228,12,9
244,229,12,9
245,230,12,9
246,231,12,8
247,233,12,8
248,234,12,8
249,236,12,8
250,238,12,8
251,241,12,8
252,244,12,8
253,247,12,7
254,249,12,6
255,253,12,6
256,257,12,5
257,262,12,5
258,267,12,4
259,274,12,4
260,280,12,3
261,286,12,3
262,289,12,2
263,294,12,2
264,299,12,2
265,303,12,2
266,306,12,3
267,311,12,2
268,314,12,2
269,319,12,2
270,324,12,2
271,329,12,2
272,332,12,2
273,335,12,3
274,337,12,3
275,338,12,3
276,339,12,3
277,340,12,3
278,342,12,3
279,344,12,2
280,346,12,1
281,349,12,1
282,354,12,1
283,358,12,1
284,362,12,1
285,365,12,2
286,369,12,2
287,373,13,2
288,375,13,2
289,378,13,2
290,382,13,3
291,385,14,3
292,388,15,2
293,391,19,2
294,397,21,3
295,402,23,4
296,406,23,4
297,410,23,4
298,415,23,3
299,420,23,4
300,422,23,5
301,426,23,4
302,427,23,4
303,428,23,4
304,429,23,4
305,429,23,4
306,431,23,4
307,433,23,4
308,438,23,4
309,443,23,4
310,450,23,4
311,454,23,4
312,459,24,4
313,464,24,3
314,468,24,3
315,471,24,2
316,475,24,2
317,479,24,2
318,481,25,2
319,483,25,2
320,486,25,2
321,495,25,2
322,499,25,2
323,505,25,1
324,513,25,1
325,519,25,1
326,525,25,1
327,529,25,1
328,532,25,1
329,535,25,1
330,537,30,1
331,540,35,1
332,544,35,1
333,546,35,1
334,548,35,1
335,548,35,1
336,550,35,1
337,554,35,1
338,558,35,1
339,563,35,1
340,569,35,1
341,576,35,1
342,585,35,1
343,590,35,1
344,593,35,1
345,595,36,1
346,596,37,1
347,599,37,1
348,600,37,1
349,602,37,1
350,604,37,1
351,607,37,1
352,609,37,1
353,614,37,1
354,618,37,1
355,619,37,1
356,617,37,1
357,618,37,1
358,621,37,1
359,622,37,1
360,625,37,1
361,631,37,1
362,637,37,1
363,643,37,1
364,647,37,1
365,648,38,2
366,650,38,2
367,653,38,2
368,659,38,1
369,667,38,1
370,670,38,1
371,675,38,1
372,684,38,1
373,694,38,1
374,704,38,0
375,712,38,0
376,718,38,0
377,725,38,0
378,730,38,0
379,737,38,0
380,743,38,0
381,747,38,0
382,755,38,0
383,763,38,1
384,771,38,1
385,777,38,1
386,783,38,1
387,788,38,2
388,794,38,2
389,803,38,2
390,812,38,2
391,818,38,2
392,822,38,2
393,829,38,2
394,834,38,2
395,840,43,2
396,841,45,2
397,843,45,2
